HOUR,MIN,SEC,GDLAT,GLON,TEC,DTEC
0,2,30,-90,-71,17.2013,1.30981
0,2,30,-90,-68,17.2888,1.30974
0,2,30,-90,-65,17.5282,1.30967
0,2,30,-89,-160,16.1548,3.57594
0,2,30,-89,-151,16.0998,3.62861
0,2,30,-89,-92,18.6435,1.33612
0,2,30,-89,-80,15.9067,1.95114
0,2,30,-89,-18,17.3569,1.37838
0,2,30,-89,-9,17.181,1.37636
0,2,30,-89,0,17.3202,1.37437
0,2,30,-89,9,17.2569,1.37243
0,2,30,-89,74,16.3282,1.33429
0,2,30,-88,-179,14.5098,6.51756
0,2,30,-88,-175,17.7443,3.18765
0,2,30,-88,-171,20.0226,4.67214
0,2,30,-88,-164,16.2548,3.55889
0,2,30,-88,-150,15.8423,1.33613
0,2,30,-88,-141,18.7065,4.96707
0,2,30,-88,-132,15.9697,5.02895
0,2,30,-88,-123,15.3956,3.71863
0,2,30,-88,-119,17.8335,1.23605
0,2,30,-88,-110,17.445,1.30527
0,2,30,-88,-102,16.4644,1.59123
0,2,30,-88,-98,12.6892,4.89892
0,2,30,-88,-92,18.6553,1.33664
0,2,30,-88,-76,15.7012,1.97032
0,2,30,-88,-64,17.4012,1.30578
0,2,30,-88,-61,17.8648,1.30937
0,2,30,-88,-54,15.0945,1.37048
0,2,30,-88,-46,13.3787,2.0289
0,2,30,-88,-42,13.5252,2.01225
0,2,30,-88,-38,14.2105,1.9959
0,2,30,-88,-34,14.3949,1.97987
0,2,30,-88,6,16.5992,1.39007
0,2,30,-88,9,16.4763,1.38771
0,2,30,-88,61,18.6578,1.37734
0,2,30,-88,67,18.7894,1.37472
0,2,30,-88,72,19.0033,1.37221
0,2,30,-88,76,18.8805,1.36982
0,2,30,-88,109,17.886,1.4432
0,2,30,-88,112,20.3211,1.30892
0,2,30,-88,129,20.5964,1.31419
0,2,30,-88,132,20.3159,1.34078
0,2,30,-88,148,18.1896,1.6087
0,2,30,-88,173,19.4782,1.8382
0,2,30,-88,179,19.0262,1.63415
0,2,30,-87,-169,17.667,1.80754
0,2,30,-87,-164,17.2757,1.82164
0,2,30,-87,-160,17.3967,1.83649
0,2,30,-87,-156,16.924,1.15016
0,2,30,-87,-150,17.7054,1.41233
0,2,30,-87,-147,17.1033,1.30682
0,2,30,-87,-142,17.6333,1.41657
0,2,30,-87,-120,15.0903,1.3101
0,2,30,-87,-117,15.604,1.35432
0,2,30,-87,-114,14.1462,1.36834
0,2,30,-87,-108,14.6124,1.30601
0,2,30,-87,-83,17.6567,1.30502
0,2,30,-87,-55,15.6376,1.38237
0,2,30,-87,-44,15.8019,1.3679
0,2,30,-87,-41,16.0017,1.36612
0,2,30,-87,-38,16.2182,0.945904
0,2,30,-87,-32,17.419,1.3269
0,2,30,-87,-28,15.443,1.37677
0,2,30,-87,-25,15.581,1.44244
0,2,30,-87,-22,15.666,1.43865
0,2,30,-87,-19,15.5434,1.43495
0,2,30,-87,10,16.3287,1.38693
0,2,30,-87,13,16.2613,1.38462
0,2,30,-87,16,16.4235,1.38236
0,2,30,-87,28,18.0445,0.947458
0,2,30,-87,31,17.2434,1.42999
0,2,30,-87,110,20.7099,1.30879
0,2,30,-87,133,22.4564,8.39291
0,2,30,-87,136,18.1711,1.3866
0,2,30,-87,142,19.6656,5.84502
0,2,30,-87,145,18.0125,1.5988
0,2,30,-86,-170,18.1252,1.30877
0,2,30,-86,-130,18.2303,1.30984
0,2,30,-86,-117,15.2577,1.31055
0,2,30,-86,-113,14.2798,1.37037
0,2,30,-86,-101,15.5492,1.30664
0,2,30,-86,-81,14.1933,1.33207
0,2,30,-86,-78,14.2586,1.31687
0,2,30,-86,-72,14.1754,1.33245
0,2,30,-86,-69,14.3958,1.33378
0,2,30,-86,-65,15.4592,1.3115
0,2,30,-86,-56,15.4702,1.31851
0,2,30,-86,-32,17.4423,1.30291
0,2,30,-86,-27,15.36,1.36634
0,2,30,-86,-24,15.5241,1.36397
0,2,30,-86,4,16.5322,1.36823
0,2,30,-86,7,16.5085,1.36524
0,2,30,-86,10,16.3663,1.42029
0,2,30,-86,23,16.7441,1.31327
0,2,30,-86,26,17.4998,0.939479
0,2,30,-86,105,15.9589,1.32807
0,2,30,-86,133,21.7571,5.97151
0,2,30,-86,156,18.3519,2.28538
0,2,30,-86,160,13.7723,1.30411
0,2,30,-86,168,22.2047,1.47294
0,2,30,-86,171,15.4815,0.474369
0,2,30,-86,174,22.4253,1.48672
0,2,30,-85,-127,15.7141,1.6221
0,2,30,-85,-124,15.9124,0.997382
0,2,30,-85,-113,17.5685,1.3297
0,2,30,-85,-101,16.9108,1.30748
0,2,30,-85,-89,16.7945,1.3039
0,2,30,-85,-86,17.843,1.31271
0,2,30,-85,-80,17.6545,1.30541
0,2,30,-85,-69,12.3963,1.37077
0,2,30,-85,-63,15.2599,1.21569
0,2,30,-85,-48,16.2847,1.39169
0,2,30,-85,-45,16.0615,1.46865
0,2,30,-85,-42,15.9488,1.46296
0,2,30,-85,-31,15.3624,1.33649
0,2,30,-85,-22,18.4858,1.30338
0,2,30,-85,2,18.7059,1.30815
0,2,30,-85,100,16.9997,3.66035
0,2,30,-85,103,22.8489,6.86437
0,2,30,-85,120,17.8973,1.39328
0,2,30,-85,135,21.1559,1.35239
0,2,30,-85,139,20.2946,3.45489
0,2,30,-85,145,18.2022,1.37479
0,2,30,-85,152,20.2891,3.5857
0,2,30,-85,155,19.3433,1.40796
0,2,30,-85,158,12.3425,1.38065
0,2,30,-85,162,14.0261,0.753934
0,2,30,-85,169,14.4826,0.490485
0,2,30,-85,172,17.1015,0.964369
0,2,30,-85,175,19.3586,1.33479
0,2,30,-85,178,19.2232,1.33585
0,2,30,-84,-177,26.3568,5.69322
0,2,30,-84,-174,16.6022,3.28736
0,2,30,-84,-140,17.7055,4.08688
0,2,30,-84,-137,15.8892,1.33919
0,2,30,-84,-133,16.4921,1.30748
0,2,30,-84,-130,18.0122,1.3032
0,2,30,-84,-113,15.3149,1.30402
0,2,30,-84,-110,17.908,1.31546
0,2,30,-84,-106,19.1488,1.34749
0,2,30,-84,-102,16.2996,1.30892
0,2,30,-84,-99,17.3796,0.924515
0,2,30,-84,-91,18.5812,1.31937
0,2,30,-84,-79,15.3403,1.39652
0,2,30,-84,-76,16.5956,1.30984
0,2,30,-84,-71,12.2921,1.37211
0,2,30,-84,-66,16.3599,0.897361
0,2,30,-84,-63,16.7112,1.28936
0,2,30,-84,-54,16.2724,0.932593
0,2,30,-84,-47,18.8021,1.38251
0,2,30,-84,-36,17.1365,1.31447
0,2,30,-84,-31,19.1361,1.3052
0,2,30,-84,2,15.8939,1.30975
0,2,30,-84,5,15.8099,1.31274
0,2,30,-84,61,12.7226,1.49393
0,2,30,-84,71,15.2965,1.89475
0,2,30,-84,112,17.0273,1.31732
0,2,30,-84,132,18.6904,4.33803
0,2,30,-84,136,20.6571,3.38195
0,2,30,-84,145,18.2762,1.31898
0,2,30,-84,154,18.9232,1.41665
0,2,30,-84,157,18.191,3.80233
0,2,30,-84,160,14.8398,1.23695
0,2,30,-84,164,12.6212,1.57963
